   0  -32   46  -35
  39  119  -76   22
   3   40  -90   43
 115   30  125 -127
  77 -111   93  104
  19 -114  100  -57
 -20  -50   58 -105
 -92 -114  -33   -8
  29  -27  -18    5
 126    8   84  -84
  -4 -123  -98   60
-106  -47  119  -30
  25   66  -20   81
 -59  -48 -122  -62
 -21   41  -26   19
 -30    5  -31   53
  31  -74  -51   27
  79  -18    5  109
 -47  -83  -61   55
 -41   82  107   61
  26   79   85   63
 110  101  -66   90
   8  116  101   64
  93   78  123  125
 107    0  -10   11
 -68   18  -26  -35
  12  -72   88  -90
  89   89  -21   17
  64  126   47   26
  -4   17   86   80
 -38  -28  101   34
   6   -3  109 -116
  -4   35  109  -71
  -6   22  110  -10
 -48   -9  117 -117
 -37   83  102  -40
-109  -51  107  -61
 -17  -45  -15   89
-114  100  -20  -71
 102  -34   82 -105
 -24  -68 -113    2
  90  -45  107  -86
 -42  114 -115   96
  49  -22  -96    2
 -78  -12   78   17
 -27  -33 -117  -92
 -21 -102  -41  121
  31  -13 -104  -53
 -39   28 -115  -71
 -62   90    5  102
 -15  -23  104   23
 -54  125  -74   -7
  87  -33  123   83
-113  -93  -12   89
 -49  -31  -36  -47
 -24   -7 -118   77
  21   77  -11  -87
 -79  -11  -71   12
-116   86   42   26
  41   34   27   29
  81   55  -25  -45
 -71   69   89 -106
 -80  -49 -119   39
-107  -30  -57   58
  -9 -110   42   24
  63  -91  -33  119
 -89  103  -52   74
 109  -86   30   72
   8  -39   99   80
 -57   34   60  -13
  29  -81  -61  -40
  13   90   72  -90
 -12  102  103   64
  27   36  -91   -7
 -34    7  -98 -126
 -54   28  -30   74
 126  -37   23 -127
 -77   80  119  126
 -69    6   73   59
  82   69  -34   32
-104  123   65   87
-116  -29 -110   94
 -29   85   76 -108
  13   55  -27  -20
 -55 -115    1 -105
  16   27  -67  -66
 -55 -111  -81   29
 125   62  -78  -85
-121  -69   34 -121
 -15 -116 -123  -23
 127  -86  -42  -55
 -99  115  122  112
  26  116  123  -70
  11 -118 -102  -77
-100   68   99  -59
  64   25   69   69
 125   74  -49  -11
  66    0  -76   85
  22   22 -106  -29
 -11  127   80 -115
